Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
STAT2			OncoKB Annotated	1
SZT2			OncoKB Annotated	1
TACSTD2	oncogene		OncoKB Annotated	1
TCL1B	oncogene		OncoKB Annotated	1
TERC			FOUNDATION ONE	1
TIGAR	oncogene		OncoKB Annotated	1
TIPARP			FOUNDATION ONE	1
TLE1			OncoKB Annotated	1
TLE2			OncoKB Annotated	1
TLE3			OncoKB Annotated	1
TLE4			OncoKB Annotated	1
TLL2			FOUNDATION ONE HEME	1
TMEM30A			FOUNDATION ONE HEME	1
TMSB4XP8			FOUNDATION ONE HEME	1
TNFRSF11A			FOUNDATION ONE HEME	1
TNFSF13	oncogene		OncoKB Annotated	1
TONSL			OncoKB Annotated	1
TOP2A	oncogene		OncoKB Annotated,civic	2
TPMT			OncoKB Annotated	1
TRIB3	oncogene		OncoKB Annotated	1
TTL			FOUNDATION ONE HEME	1
TUSC3			FOUNDATION ONE HEME	1
TYMS	oncogene		OncoKB Annotated,civic	2
TYRO3			FOUNDATION ONE	1
UBA1	oncogene		OncoKB Annotated	1
UBE2A	oncogene		OncoKB Annotated	1
UBTF	oncogene		OncoKB Annotated	1
UCHL1	oncogene		OncoKB Annotated	1
USP1	oncogene		OncoKB Annotated	1
WDR90			FOUNDATION ONE HEME	1
WEE1	TSG		OncoKB Annotated,civic	2
WWP1	oncogene		OncoKB Annotated	1
XRCC1	TSG		OncoKB Annotated,civic	2
YPEL5			FOUNDATION ONE HEME	1
YY1	oncogene		OncoKB Annotated	1
YY1AP1			FOUNDATION ONE HEME	1
ZBTB20	oncogene,TSG		OncoKB Annotated	1
ZFP36L1	TSG		OncoKB Annotated	1
ZFP36L2	TSG		OncoKB Annotated	1
ZNF24			FOUNDATION ONE HEME	1
ZNF292	TSG		OncoKB Annotated	1
ZNF750	TSG		OncoKB Annotated	1
		BCR	civic	1
EWSR1::FLI1			civic	1
TTF1			civic	1
BIRC7			civic	1
ABCG2			civic	1
PAPSS1			civic	1
NT5E			civic	1
AREG			civic	1
TGFA			civic	1
EREG			civic	1
DEFA1			civic	1
FNTB			civic	1
PDCD4			civic	1
TFF3			civic	1
CD44			civic	1
EGF			civic	1
HMOX1			civic	1
SPHK1			civic	1
PBK			civic	1
ALCAM			civic	1
STMN1			civic	1
RSF1			civic	1
UGT1A			civic	1
BIRC5			civic	1
AGR2			civic	1
NAPRT			civic	1
TIMP1			civic	1
PTP4A3			civic	1
PRKAA2			civic	1
HSPA5			civic	1
EIF4EBP1			civic	1
TUBB3			civic	1
CFLAR			civic	1
PROM1			civic	1
FOXP3			civic	1
RPS6			civic	1
DUSP6			civic	1
HSPB1			civic	1
MAGEH1			civic	1
ABCC3			civic	1
ABCC10			civic	1
ASNS			civic	1
THBS2			civic	1
v			civic	1
HLA-DRA			civic	1
PSMB8			civic	1
PTTG1			civic	1
LEPR			civic	1
NEDD9			civic	1
ETS2			civic	1
KRT18			civic	1
FGF13			civic	1
FCGR2A			civic	1
FCGR3A			civic	1
ALDH1A2			civic	1
CIP2A			civic	1
MIR218-1			civic	1
DDX43			civic	1
TBK1			civic	1
HAVCR2			civic	1
MMP2			civic	1
MMP9			civic	1
HSPH1			civic	1
ECSCR			civic	1
ROBO4			civic	1
EML4::ALK			civic	1
DUX4			civic	1
B4GALT1			civic	1
SIRT1			civic	1
ACTA1			civic	1
PPP1R15A			civic	1
MAP2K7			civic	1
PPFIBP2			civic	1
RAD23B			civic	1
FOS			civic	1
GAS6			civic	1
STAG3			civic	1
ZKSCAN1			civic	1
KIF23			civic	1
GADD45A			civic	1
KLLN			civic	1
CYP2D6			civic	1
UGT1A1			civic	1
TNKS2			civic	1
SLCO1B1			civic	1
RRM1			civic	1
RRM2			civic	1
VPS37A			civic	1
CTAG1B			civic	1
CTAG2			civic	1
SLC3A2			civic	1
ATP1B1			civic	1
MACF1			civic	1
ASS1			civic	1
TLK2			civic	1
TRIM63			civic	1
GON4L			civic	1
SSBP2			civic	1
SNX2			civic	1
RCSD1			civic	1
FGFR1OP2			civic	1
APP			civic	1
ATF7IP			civic	1
STRN3			civic	1
TERF2			civic	1
USP25			civic	1
ZNF274			civic	1
RFX3			civic	1
NRF1			civic	1
IL6			civic	1
PRPS1			civic	1
OFD1			civic	1
SMU1			civic	1
ZNF430			civic	1
KANK1			civic	1
ZMIZ1			civic	1
CENPC			civic	1
NUP153			civic	1
VCL			civic	1
AFAP1			civic	1
SLC29A1			civic	1
SSTR5			civic	1
KANK4			civic	1
SCP2			civic	1
CHD7			civic	1
ZFTA			civic	1
FOXR2			civic	1
SLC4A4			civic	1
TMB			civic	1
Kataegis			civic	1
CK			civic	1
CD72			civic	1
GOLGA4			civic	1
ANO10			civic	1
Methylation signature			civic	1
EGFR::RAD51			civic	1
GOPC::ROS1			civic	1
C19MC			civic	1
