Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
PIK3R2	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,OncoKB Annotated,FOUNDATION ONE HEME,civic	6
PIK3R3	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
PIM1	fusion,oncogene	BCL6	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
PLAG1	fusion,oncogene	LIFR,TCEA1,HAS2,CHCHD7,CTNNB1,COL1A2	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PLCG1	fusion,oncogene		OncoKB Annotated,COSMIC,MSK-HEME,COSMIC CGC (v99)	4
PLEC	fusion	ENPP2	COSMIC	1
PML	fusion,TSG	PAX5,RARA	COSMIC,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	5
PMS1	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
PMS2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
POLD1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
POLE	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic,FOUNDATION ONE	7
POLG	TSG		OncoKB Annotated,COSMIC	2
POLQ	oncogene,TSG		COSMIC,COSMIC CGC (v99)	2
POLR2A			COSMIC	1
POT1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic	7
POU2AF1	fusion,oncogene	BCL6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
POU5F1	fusion,oncogene	EWSR1	COSMIC,COSMIC CGC (v99),civic	3
PPARG	fusion,oncogene,TSG	PAX8	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
PPFIBP1	fusion	ROS1,ALK	COSMIC,COSMIC CGC (v99)	2
PPM1D	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
PPP2R1A	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PPP6C	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
PRCC	fusion,oncogene	TFE3	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
PRDM1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PRDM16	fusion,oncogene	MECOM	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PRDM2	TSG		COSMIC	1
PREX2	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,civic	6
PRF1	TSG		COSMIC,COSMIC CGC (v99)	2
PRKACA	oncogene	DNAJB1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
PRKAR1A	fusion,oncogene,TSG	RET	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
PRKCB	oncogene,TSG		OncoKB Annotated,COSMIC,civic	3
PRKD1	fusion	SNX9,PRKAR2A	MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
PRPF40B			COSMIC	1
PRRX1	fusion	NUP98	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PSIP1	fusion,oncogene	NUP98	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PTCH1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PTEN	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
